,"I140 PP, 140/485 cc",Center,Type,"I-485
Received
 Date",Notice Date_FP,Walk-In?,Walk-in Office Location,"AP / EAD 
Approved 
Date",Days between RD and FP,Days between RD and AP/EAD ,"Finger
Print
Schedule
Day",FP Date,"485 
Approved
 Date","Green Card Received Date
","Days
between
 AP/EAD Day and
 485 AD Day","Days
between
 FP Day and
 485 AD Day","Days
 between
 RD and 
485 AD Day",I485 Pending day,Percentage of Cases Faster than Yours?,"--> Please sort by Receive date!
To New user, 
Please play with other sheet,
your changes are permanent!"
dimplelove ,PP，non-CC,TSC,EB1B,4/29/2013,5/17/2013,W,,5/23/2013,21,24,5/24/2013,5/20/2013,6/28/2013,,36,38,59,,28.70%,
kkndwb,"PP, non_CC",TSC,EB1B,4/29/2013,5/17/2013,NO,,5/17/2013,25,18,5/24/2013,5/24/2013,2/28/2014,,287,274,299,,99.40%,
forest23,PP，non-CC,TSC,EB1B,4/26/2013,,W,,5/29/2013,32,33,5/29/2013,5/28/2013,7/24/2013,,56,56,88,,57.20%,
z,"PP,cc",TSC,EB1B,4/24/2013,5/2/2013,W,,5/30/2013,15,36,5/17/2013,5/9/2013,7/22/2013,,53,73,88,,57.20%,
dcxe,"PP, non cc",TSC,EB1A,4/22/2013,5/2/2013,NO,,5/24/2013,24,32,5/16/2013,5/16/2013,6/11/2013,,,25,49,,17.30%,
Bajiuyanhuan,"PP, non cc",TSC,EB1A,4/16/2013,4/22/2013,NO,,4/27/2013,29,11,5/15/2013,5/15/2013,6/1/2013,,,16,45,,13.80%,
momo,"PP, non cc",TSC,EB1B,4/15/2013,4/19/2013,W,,4/27/2013,10,12,5/13/2013,4/25/2013,7/27/2013,,91,92,102,,67.40%,
dking5,"PP, non cc",TSC,EB1A,4/15/2013,4/22/2013,W,,4/27/2013,16,12,5/9/2013,5/1/2013,6/14/2013,,,43,59,,28.70%,
naruto01,"PP, non cc",TSC,EB1A,4/9/2013,4/16/2013,W,,4/29/2013,14,20,5/13/2013,4/23/2013,6/7/2013,,,44,58,,27.10%,
Lumangren,"PP,non cc",TSC,EB1A,4/8/2013,4/17/2013,NO,,,24,,5/2/2013,5/2/2013,5/31/2013,,,29,53,,22.40%,
passengor,"PP, non cc",TSC,EB1A,4/8/2013,4/12/2013,W,,5/1/2013,11,23,5/2/2013,4/19/2013,5/16/2013,,,27,38,,6.50%,
TOXO,"PP, non cc",TSC,EB1A,4/8/2013,4/10/2013,W,,4/26/2013,10,18,5/1/2013,4/18/2013,5/29/2013,,,41,51,,20.00%,
angellee,"PP, non cc",TSC,EB1A,4/4/2013,5/14/2013,W,,4/25/2013,50,21,5/29/2013,5/24/2013,6/22/2013,,,28,78,,49.70%,
letitbe30,"PP, non cc",TSC,EB1A,4/4/2013,4/11/2013,W,,4/25/2013,14,21,5/2/2013,4/18/2013,5/9/2013,,,21,35,,3.90%,
xyz,"non-pp, non cc",TSC,EB1A,4/4/2013,4/10/2013,No,,4/26/2013,27,22,5/1/2013,5/1/2013,Blessing,,,,,973,,RFE
whatever2008,"PP, non cc",TSC,EB1A,4/4/2013,4/10/2013,W,,4/24/2013,13,20,5/8/2013,4/17/2013,6/8/2013,,,51,64,,33.00%,
xiximm,"PP, non cc",TSC,EB1B,4/3/2013,4/15/2013,W,,4/23/2013,13,20,5/8/2013,4/16/2013,5/21/2013,,28,35,48,,15.30%,
xiaopanghou,"PP, non cc",TSC,EB1A,4/2/2013,4/9/2013,NO,,4/27/2013,34,25,5/6/2013,5/6/2013,5/30/2013,,,24,58,,27.10%,
happyhappyha,no PP,TSC ,EB2,4/1/2013,4/5/2013,W,,4/19/2013,,18,5/1/2013,,5/9/2013,,20,20,38,,6.50%,
miaomiao,"PP, non cc",TSC,EB1B,3/29/2013,4/2/2013,NO,,4/19/2013,27,20,4/25/2013,4/25/2013,6/3/2013,,45,38,64,,33.00%,
simonsf421,"PP, non cc",TSC,EB1A,3/29/2013,4/1/2013,W,,4/18/2013,19,19,4/23/2013,4/17/2013,5/10/2013,,,23,41,,10.20%,
idmgsph,non CC,TSC,EB1,3/29/2013,,,,,,,,,5/7/2013,,,,38,,6.50%,
gouji,"PP,non cc",TSC,EB1B,3/28/2013,4/1/2013,W,,,12,,4/23/2013,4/9/2013,6/3/2013,,,54,65,,34.40%,
saladeater ,"PP, non cc",TSC,EB1B,3/28/2013,3/29/2013,W,,4/19/2013,12,21,4/23/2013,4/9/2013,6/10/2013,,,61,72,,43.00%,
juggernaut ,"PP, non CC",TSC,EB1A,3/28/2013,,,,,28,,,4/25/2013,6/27/2013,,,62,89,,58.50%,
wpj ,"PP, non cc",TSC,EB1A,3/27/2013,,,,,,,,,4/27/2013,,,,30,,1.80%,
dustinn,"PP, non cc",TSC,EB1B,3/26/2013,3/26/2013,,,,,,,,6/3/2013,,,,67,,37.30%,
L,non-PP non-cc,TSC,EB1A,3/26/2013,3/28/2013,W,,4/11/2013,10,,4/26/2013,4/5/2013,5/8/2013,,,33,42,,11.00%,
thebay,N CC,TSC,,3/26/2013,3/28/2013,W,,,14,,4/25/2013,4/9/2013,Blessing,,,,,981,,
Rover,"PP, cc",TSC,EB1B,3/25/2013,3/27/2013,W,,4/15/2013,14,20,4/22/2013,4/8/2013,5/3/2013,,18,25,38,,6.50%,
netoflong,non-pp non-cc,TSC,EB1A,3/25/2013,4/3/2013,W,,4/22/2013,11,27,4/18/2013,4/5/2013,5/9/2013,,,34,44,,12.40%,
garfieldnini,"PP, non cc",TSC,EB1A,3/25/2013,4/3/2013,W,,4/23/2013,14,28,4/21/2013,4/8/2013,7/8/2013,,,,103,,68.00%,RFE (6/5/13)
eggegg123,"PP, non cc",TSC,EB1A,3/25/2013,3/29/2013,NO,,4/22/2013,31,27,4/25/2013,4/25/2013,5/31/2013,,,36,66,,36.00%,
Walkwoman,"PP,non cc",TSC,EB1B,3/22/2013,3/28/2013,W,,4/19/2013,14,27,4/22/2013,4/5/2013,4/20/2013,,1,15,28,,0.80%,
aaddoo,,,,3/22/2013,,,,,28,,4/18/2013,4/19/2013,4/27/2013,,,8,35,,3.90%,
blueblur,"PP, non cc",TSC,EB1B,3/20/2013,3/26/2013,W,,4/8/2013,19,18,4/18/2013,4/8/2013,6/18/2013,,71,70,88,,57.20%,
Woshiboshi,Pp noncc,TSC,Eb1b,3/18/2013,3/28/2013,,,4/8/2013,78,20,4/15/2013,6/4/2013,6/20/2013,,73,16,92,,60.90%,"FP on 06/04, waiting for gc"
laochang,,TSC,EB1B,3/18/2013,,,,4/4/2013,28,16,,4/15/2013,5/15/2013,,41,30,57,,26.90%,
lcan,PP not CC,TSC,EB1A,3/14/2013,3/21/2013,W,,4/3/2013,13,19,4/4/2013,3/27/2013,7/10/2013,,,103,116,,73.30%,
beifenglang,"PP, Non CC",TSC,EB1A,3/14/2013,,W,,,12,,,3/26/2013,4/11/2013,,,15,27,,0.60%,
Mamawok,"PP, Non CC",TSC,EB1A,3/14/2013,,W,,,13,,,3/27/2013,4/15/2013,,,18,31,,2.80%,
zmhappy8,"PP, non CC",TSC,EB1,3/14/2013,,W,,3/27/2013,12,13,,3/26/2013,4/12/2013,,,16,28,,0.80%,
pxjdream,"PP, non cc",TSC,EB1B,3/13/2013,3/18/2013,NO,,4/1/2013,23,18,4/5/2013,4/5/2013,4/26/2013,,25,21,43,,11.60%,
Calendar,"PP, non cc",TSC,EB1A,3/13/2013,3/19/2013,W,,4/15/2013,12,32,4/9/2013,3/25/2013,5/13/2013,,,48,60,,29.90%,
fanR9,"PP, non cc",TSC,EB1A,3/13/2013,3/19/2013,W,,4/15/2013,16,32,4/11/2013,3/29/2013,5/13/2013,,,44,60,,29.90%,
dharmacon,"PP, no CC ",TSC,EB1B,3/12/2013,3/19/2013,W,,4/5/2013,13,23,4/16/2013,3/25/2013,6/6/2013,,62,71,84,,54.80%,
water00,non cc,TSC,EB1B,3/11/2013,3/22/2013,W,,,14,,4/10/2013,3/25/2013,4/13/2013,,,18,32,,2.90%,
kk,"PP, non cc",TSC,EB1B,3/11/2013,3/18/2013,NO,,3/26/2013,24,15,4/4/2013,4/4/2013,4/29/2013,,34,25,48,,15.30%,
printk,"PP, no CC ",TSC,EB1,3/11/2013,3/18/2013,NO,,4/13/2013,24,32,4/4/2013,4/4/2013,4/29/2013,,,25,48,,15.30%,
lubitcn,"PP,non CC",TSC,EB1A,3/8/2013,3/19/2013,NO,,4/1/2013,32,23,4/9/2013,4/9/2013,6/1/2013,,,52,83,,53.60%,
ee,"PP,non CC",TSC,EB1A,3/7/2013,,NO,,4/15/2013,27,38,4/3/2013,4/3/2013,6/18/2013,,,75,101,,66.40%,
JFS,"nonPP, nonCC",TSC,EB1B,3/6/2013,,W,,4/3/2013,14,27,4/1/2013,3/20/2013,Blessing,,,,,1001,,
daweiguoguo,"PP, no CC ",TSC,EB1B,3/5/2013,3/8/2013,W,,3/25/2013,21,20,3/25/2013,3/26/2013,4/10/2013,,,14,35,,3.90%,
mitwater,"pp, non-cc",TSC,EB1A,3/4/2013,3/7/2013,W,,,13,,4/1/2013,3/17/2013,5/13/2013,,,56,69,,39.70%,
jinzituo,"PP, non cc",TSC,EB1A,3/1/2013,4/1/2013,W,,4/11/2013,40,40,4/25/2013,4/10/2013,5/4/2013,,,24,63,,31.40%,
mikezys,pp,TSC,EB1A,3/1/2013,3/16/2013,W,,,17,,,3/18/2013,4/1/2013,,,13,30,,1.80%,
andycai,"PP, non cc",TSC,EB1A,2/28/2013,3/6/2013,W,,4/8/2013,13,38,3/22/2013,3/13/2013,4/13/2013,,,31,44,,12.40%,
jjliy,"PP,Non CC",TSC,EB1,2/28/2013,,,,,13,,,3/13/2013,4/3/2013,,,20,33,,3.10%,
canhelp2007,"PP, non cc",TSC,EB1B,2/27/2013,3/5/2013,W,,3/20/2013,13,23,3/26/2013,3/12/2013,4/2/2013,,13,20,35,,3.90%,
bjmuyj,"PP, non cc",TSC,EB1B,2/27/2013,,W,,3/20/2013,15,23,,3/14/2013,Blessing,,,,,1010,,
hl,non PP. no CC,TSC,EB1B,2/27/2013,,NO,,,19,,3/18/2013,3/18/2013,4/17/2013,,,29,50,,18.30%,485 RFE 4/1/13
diomedes ,"PP, Non CC",TSC,EB1A,2/27/2013,,NO,,,19,,3/18/2013,3/18/2013,4/1/2013,,,13,34,,3.30%,
paolongtao,Non CC,TSC,EB1,2/27/2013,,,,,20,,,3/19/2013,4/15/2013,,,26,48,,15.30%,
zxxlwl ,"PP, Non CC",TSC,EB1,2/27/2013,,NO,,3/23/2013,27,26,3/26/2013,3/26/2013,4/12/2013,,,16,45,,13.80%,
sea000,"PP, Non CC",TSC,EB1A,2/26/2013,,W,,,7,,,3/5/2013,4/6/2013,,,31,40,,9.00%,
ylq222,Non CC,TSC,EB1A,2/25/2013,3/20/2013,W,,,9,,,3/6/2013,4/6/2013,,,30,41,,10.20%,
joy888,Non CC,TSC,EB1A,2/25/2013,,,,,18,,,3/15/2013,4/27/2013,,,42,62,,31.00%,
mitforever,"PP, non CC",TSC,EB1A,2/25/2013,,W,,,27,,,3/24/2013,4/4/2013,,,10,39,,8.10%,
cysteine28,"PP, non CC",TSC,EB1,2/21/2013,,W,,,6,,,2/27/2013,5/1/2013,,,64,70,,41.10%,
winniepiero,Non CC,TSC,EB1A,2/20/2013,3/1/2013,W,,,20,,,3/12/2013,4/26/2013,,,44,55,,25.50%,
Scar,"nonPP, nonCC",TSC,EB1A,2/20/2013,2/22/2013,W,,4/1/2013,9,20,3/19/2013,3/1/2013,5/22/2013,,,81,92,,60.90%,
Synthon,,TSC,EB1,2/19/2013,,,,,,,,,5/3/2013,,,,74,,44.80%,
joni,"PP, non cc",TSC,EB1B,2/15/2013,2/19/2013,W,,3/12/2013,21,27,3/21/2013,3/8/2013,5/30/2013,,79,,105,,69.00%,
tiekuai,"Non PP, CC",TSC,EB1B,2/15/2013,,,,3/15/2013,,30,,,4/1/2013,,17,,46,,14.70%,
xxx,"PP, non cc",TSC,EB1A,2/14/2013,2/19/2013,NO,,4/3/2013,27,49,3/13/2013,3/13/2013,4/20/2013,,,37,66,,36.00%,
newtexas,PP,TSC,EB1B,2/13/2013,,W,,,,,3/12/2013,,3/22/2013,,,24,39,,8.10%,
yc,non cc,TSC,EB1B,2/13/2013,,,,,,,,,5/30/2013,,,,107,,70.10%,
ID101,"PP, non cc",TSC,EB1A,2/13/2013,,,,3/13/2013,27,30,,3/12/2013,4/5/2013,,,24,52,,21.20%,
drlm,"PP, non cc",TSC,EB1B,2/12/2013,,NO,,,28,,3/12/2013,3/12/2013,4/10/2013,,,28,58,,27.10%,
jitterite,nonPP nonCC,TSC,EB1A,2/11/2013,2/20/2013,NO,,3/5/2013,30,24,3/13/2013,3/13/2013,3/29/2013,,,16,48,,15.30%,
nene415,PP,TSC,EB1A,2/8/2013,2/14/2013,W,,3/2/2013,18,24,3/8/2013,2/26/2013,3/22/2013,,,26,44,,12.40%,
wxl790625,PP，non CC,TSC,EB1,2/8/2013,,,,,,,,,4/1/2013,,,,53,,22.40%,
zzsdehs ,PP，non CC,TSC ,EB1B,2/7/2013,2/20/2013,W,,3/5/2013,19,28,,2/26/2013,4/1/2013,,,35,54,,24.20%,
Rashel2010,"PP, non cc",TSC,EB1A,2/7/2013,2/15/2013,NO,,3/5/2013,28,28,3/7/2013,3/7/2013,5/6/2013,,,59,89,,58.50%,
redpoppy,non-PP non-cc,TSC,EB1A,2/7/2013,2/11/2013,W,,,14,,2/25/2013,2/21/2013,5/7/2013,,,76,90,,59.70%,
woshiwo,,TSC,EB1A,2/7/2013,,NO,,,26,,3/5/2013,3/5/2013,3/21/2013,,,16,44, ,12.40%,
Rajon Rondo,PP non CC,TSC,EB1A,2/5/2013,2/7/2013,NO,,2/26/2013,27,21,3/4/2013,3/4/2013,4/3/2013,,,29,58,,27.10%,
happyocean,non CC,TSC,NIW,2/1/2013,2/11/2013,NO,,2/22/2013,24,21,2/25/2012,2/25/2013,4/17/2013,,,52,76,,47.50%,
wsun1122,"Non PP, CC",TSC,EB1B,2/1/2013,,NO,,,27,,2/28/2013,2/28/2013,4/6/2013,,,36,65,,34.40%,
jizesi,"PP, Non CC",TSC,EB1B,1/31/2013,2/8/2013,NO,,,25,,2/25/2013,2/25/2013,4/1/2013,,,36,61,,30.60%,
Heavenbless,,TSC,EB1A,1/31/2013,2/27/2013,W,,,15,,,2/15/2013,4/2/2013,,,47,62,,31.00%,
hdlldh,"PP, Non CC",TSC,EB1A,1/30/2013,2/5/2013,W,,2/26/2013,16,26,2/26/2013,2/15/2013,4/19/2013,,,,79,,50.90%,
mmacabre,,TSC,EB1B,1/29/2013,,,,2/26/2013,23,27,,2/21/2013,4/12/2013,,,51,73,,43.80%,
eggsoup,"non pp, non cc",TSC,EB1B,1/25/2013,2/9/2013,W,,2/8/2013,17,13,2/22/2013,2/11/2013,3/2/2013,,,21,37,,5.50%,
ford99,"non pp, non cc",TSC,EB1B,1/25/2013,2/9/2013,W,,3/5/2013,17,40,2/22/2013,2/11/2013,6/1/2013,,,110,126,,77.40%,
blue,"pp, noncc",TSC,EB1B,1/25/2013,1/29/2013,NO,,2/12/2013,32,17,2/26/2013,2/26/2013,4/10/2013,,,44,75,,46.40%,
leu,PP,TSC,EB1A,1/24/2013,2/4/2013,W,,2/21/2013,13,27,2/19/2013,2/6/2013,2/22/2013,,,16,28,,0.80%,
nhyda,"PP, noncc",TSC,EB1B,1/23/2013,2/1/2013,W,,2/8/2013,22,15,3/7/2013,2/14/2013,3/28/2013,,,44,65,,34.40%,
Lanbao,Non CC,TSC,EB1B,1/23/2013,,,,,37,,,3/1/2013,4/11/2013,,,40,78,,49.70%,
Sunnyboy007,"PP, non CC",TSC,EB1B,1/16/2013,1/29/2013,W,,2/13/2013,14,27,2/26/2013,1/30/2013,2/22/2013,,,22,36,,4.90%,
xpxpxpxp,PP,TSC,EB1B,1/16/2013,,NO,,2/6/2013,26,20,2/11/2013,2/11/2013,5/16/2013,,,95,120,,75.20%,
Procter ,"PP, Non cc",TSC,EB1A,1/14/2013,2/11/2013,W,,1/26/2013,32,12,2/28/2013,2/15/2013,4/9/2013,,,24,85,,56.00%,
Zebrakit,,TSC,EB1,1/7/2013,,,,,,,,,Blessing,,,,,1060,,
yoyozhai ,PP,TSC,EB1B,12/19/2012,12/30/2012,NO,,1/26/2013,29,,1/17/2013,1/17/2013,2/15/2013,,,28,56,,26.10%,485 RFE 2/05/2013 flu shot
danceforfun,"Non PP, CC",TSC,EB1C,12/12/2012,,,,,85,,,3/7/2013,4/6/2013,,,29,114,,72.30%,
fath,PP,TSC,EB1B,12/12/2012,,NO,,2/1/2013,28,,1/9/2013,1/9/2013,2/26/2013,,,48,74,,44.80%,
Greendianxin,,TSC,EB1B,12/7/2012,2/10/2013,W,,2/19/2013,76,,2/28/2013,2/21/2013,3/9/2013,,,18,92,,60.90%,
xsh,"PP, non CC",TSC,EB1A,12/6/2012,2/7/2013,W,,12/29/2012,64,23,2/28/2013,2/8/2013,4/27/2013,,,79,141,,81.10%,
lylyuj ,,TSC,EB1A,12/6/2012,12/26/2012,W,,1/11/2013,29,35,1/23/2013,1/4/2013,2/12/2013,,,38,66,,36.00%,
DogDoe,PP,TSC,EB1A,12/5/2012,,NO,,,40,,1/14/2013,1/14/2013,2/8/2013,,,24,63,,31.40%,
piggybon,PP,TSC,EB1A,12/3/2012,,,,,,,,,3/18/2013,,,,105,,69.00%,
whuciac,,TSC,,12/1/2012,,W,,,20,,,12/21/2012,2/8/2013,,,47,67,,37.30%,
laptop20099,,TSC,,12/1/2012,,,,,20,,,12/21/2012,5/30/2013,,,,179,,91.70%,
jjyyggll,"pp, non CC",TSC,EB1B,11/30/2012,12/28/2012,,,12/21/2012,18,,,12/18/2012,1/19/2013,,,31,49,,17.30%,
iamright,no pp,TSC,EB1B,11/29/2012,,W,,,13,,,12/12/2012,12/27/2012,,,15,28,,0.80%,
stock2009,non pp,TSC,EB1A,11/29/2012,12/31/2012,,,,32,,,12/31/2012,1/12/2013,,,12,43,,11.60%,
dbabay,non CC,TSC,,11/26/2012,12/3/2012,,,,8,,,12/4/2012,12/21/2012,,,17,25,,0.40%,Fastest Record
ahongg,"Non PP,CC",TSC,EB1B,11/23/2012,,,,12/17/2012,33,,,12/26/2012,4/8/2013,,,102,135,,80.20%,
xyy2266,,TSC,EB1A,11/21/2012,,,,12/20/2012,6,29,,11/27/2012,12/28/2012,,,31,37,,5.50%,
flyfishli,PP + Non CC,TSC,EB1A,11/19/2012,11/30/2012,,,12/17/2012,16,28,,12/5/2012,1/26/2013,,,51,67,,37.30%,
xiguasuan,PP + Non CC,TSC,EB1B,11/13/2012,11/26/2012,,,12/14/2012,14,,,11/27/2012,1/23/2013,,,56,70,,41.10%,
arlc,CC,TSC,EB1A,11/9/2012,,,,11/11/2012,,2,,,12/9/2012,,,,30,,1.80%,
bebewife,con PP,TSC,EB1B,11/1/2012,12/4/2012,,,12/7/2012,33,,,12/4/2012,1/10/2013,,,36,69,,39.70%,
elin033,,TSC,EB1B,10/31/2012,,W,,12/26/2012,33,,,12/3/2012,12/26/2012,,,23,56,,26.10%,
chenshuitong,,TSC,EB1A,10/29/2012,,,,,16,,,11/14/2012,12/3/2012,,,19,34,,3.30%,
nanoflower,,TSC,EB1A,10/26/2012,11/16/2012,,,12/21/2012,39,55,,12/4/2012,12/26/2012,,,22,60,,29.90%,
chemlabor,,TSC,EB1A,10/24/2012,,,,,13,,,11/6/2012,12/12/2012,,,36,48,,15.30%,
movingbox,"PP, CC",TSC,EB1B,10/18/2012,,,,,22,,,11/9/2012,11/26/2012,,,17,38,,6.50%,
yoyoha,,TSC,,10/18/2012,,,,,29,,,11/16/2012,12/11/2012,,,25,53,,22.40%,
sunny219,,TSC,,10/12/2012,12/12/2012,,,,40,,,11/21/2012,12/15/2012,,,24,63,,31.40%,
flyingpig2,PP,TSC,,10/11/2012,,,,,34,,,11/14/2012,12/31/2012,,,47,80,,51.30%,
iamright,"PP, non-CC",TSC,EB1B,10/9/2012,,,,,20,,,10/29/2012,11/9/2012,,,10,30,,1.80%,
dongding,,TSC,EB1B,10/9/2012,,,,11/7/2012,22,,,10/31/2012,12/17/2012,,,47,68,,38.70%,
Loveanthony,non PP,TSC,EB1A,10/3/2012,,,,,26,,,10/29/2012,12/8/2012,,,39,65,,34.40%,
mirmaid,,TSC,EB1A,9/27/2012,10/9/2012,,,10/19/2012,27,22,,10/24/2012,12/17/2012,,,53,80,,51.30%,
robbine75,N/A,TSC,EB1A,9/25/2012,N/A,,,,45,,N/A,11/9/2012,12/10/2012,,,31,75,,46.40%,
bluelinger,,TSC,,9/25/2012,,,,10/26/2012,29,,,10/24/2012,11/29/2012,,,35,64,,33.00%,
qqwbb,,TSC,,9/19/2012,,,,10/17/2012,15,,,10/4/2012,10/26/2012,,,22,37,,5.50%,
"lightwind
",,TSC,,9/19/2012,,,,,,,,,11/27/2012,,,,68,,38.70%,
needaname,,TSC,,9/18/2012,,,,10/5/2012,34,,,10/22/2012,11/6/2012,,,14,48,,15.30%,
adai007,,TSC,,9/15/2012,,,,,74,,,11/28/2012,12/21/2012,,,23,96,,64.00%,
grayshiwb,,TSC,EB1A,9/13/2012,,,,10/22/2012,35,39,,10/18/2012,12/26/2012,,,68,103,,68.00%,
jianfech,"no pp, CC",TSC,Eb1b,9/2/2012,,,,,,,,,12/14/2012,,,,102,,67.40%,
Lijunpan1974,PP,TSC,EB1A,8/31/2012,9/4/2012,,,9/27/2012,27,27,,9/27/2012,11/3/2012,,,36,63,,31.40%,
laserwater,,TSC,EB1A,8/29/2012,,,,10/5/2012,49,36,,10/17/2012,11/28/2012,,,41,89,,58.50%,
yangbian,"non pp, CC",TSC,EB1B,8/15/2012,8/24/2012,NO,,9/12/2012,29,,9/13/2012,9/13/2012,1/26/2013,,,133,161,,87.00%,
zhangmingnk,,TSC,EB1A,8/7/2012,,,,,,,,,1/2/2013,,,,145,,82.30%,
(anonymous),non-pp,TSC,EB1A,8/3/2012,,,,,20,,,8/23/2012,9/26/2012,,,33,53,,22.40%,
brandon2008,,TSC,EB1A,7/25/2012,,,,,22,,,8/16/2012,11/8/2012,,,82,103,,68.00%,
sjzhang,,,EB1A,7/24/2012,8/7/2012,,,8/20/2012,23,26,,8/16/2012,11/3/2012,,,77,99,,65.60%,
cynthiadodo,,TSC,EB1A,7/20/2012,,,,,26,,,8/15/2012,12/14/2012,,,119,144,,81.70%,
(anonymous),"N-PP, non-CC",TSC,EB1A,7/13/2012,7/26/2012,,,,24,,,8/6/2012,10/4/2012,,,58,81,,52.50%,
JuneBug,"PP, non CC",TSC,EB1A,7/10/2012,,,,8/4/2012,30,24,,8/9/2012,11/5/2012,,,86,115,,73.10%,
shawshark,PP,,EB1B,7/8/2012,,,,,31,,,8/8/2012,11/1/2012,,,83,113,,71.70%,
leffton,,,EB1A,7/7/2012,,,,,31,,,8/7/2012,11/6/2012,,,89,119,,74.70%,
branchmer,,TSC,,7/6/2012,,,,8/10/2012,32,,,8/7/2012,12/18/2012,,,131,162,,87.40%,
windybird,CC,,EB1B,7/5/2012,,,,,35,,,8/9/2012,1/2/2013,,,143,177,,90.80%,
fffttt,"PP, non CC",TSC,EB1A,7/3/2012,7/17/2012,,,8/23/2012,36,50,,8/8/2012,8/23/2012,,,15,50,,18.30%,
newforest,,TSC,,7/2/2012,,,,7/27/2012,14,,,7/16/2012,12/5/2012,,,121,153,,85.30%,
wangchy,"N PP, N CC",TSC,EB1B,6/29/2012,7/16/2012,,,8/24/2012,39,,,8/7/2012,10/16/2012,,,121,107,,70.10%,
disaimisong,"N PP ,N CC",TSC,EB1A,6/25/2012,7/6/2012,,,7/21/2012,31,26,,7/26/2012,11/15/2012,,,121,140,,80.70%,
dede7412,"PP, N CC",TSC,EB1A,6/21/2012,8/21/2012,,,,84,,,9/13/2012,10/29/2012,,,46,128,,78.40%,
jntl,,,,6/14/2012,,,,,,,,,11/7/2012,,,46,143,,81.50%,
isimifi,CC,TSC,EB1B,6/12/2012,,,,,41,,,7/23/2012,11/8/2012,,,105,146,,82.70%,
MatthewJX,,TSC,EB1A,6/12/2012,,,,7/12/2012,37,30,,7/19/2012,11/3/2012,,,104,141,,81.10%,
Creep,"PP, non CC",TSC,EB1A,6/7/2012,8/20/2012,,,7/14/2012,89,37,,9/4/2012,11/9/2012,,,105,152,,84.50%,
Shrimp,"PP, non CC",TSC,EB1b,6/4/2012,6/25/2012,,,,37,,,7/11/2012,8/11/2012,,,30,67,,37.30%,
bigapple0604,"PP, CC",TSC,,6/4/2012,,,,,,,,,10/28/2012,,,39,144,,81.70%,
sharpstill05,,,,6/1/2012,,,,,,,,,11/5/2012,,,,154,,85.70%,
blackred,"PP,non CC",TSC,EB1B,5/31/2012,,,,6/20/2012,,,,,12/21/2012,,,,201,,94.50%,
may09,"PP, non CC",TSC,EB1a,5/29/2012,8/14/2012,,,6/13/2012,90,14,,8/27/2012,9/26/2012,,,29,117,,73.50%,
perry,,,,5/28/2012,,,,,,,,,11/7/2012,,,,159,,86.60%,
LovlyBone,"pp, not CC",TSC,EB1A,5/25/2012,8/21/2012,,,,116,,,9/18/2012,10/27/2012,,,39,152,,84.50%,
lylx,"PP, no-CC",TSC,EB1B,5/17/2012,6/19/2012,,,6/4/2012,18,,,6/4/2012,10/29/2012,,,39,162,,87.40%,
windnorth,pp not CC,TSC,EB1B,5/10/2012,,,,5/18/2012,69,,,7/18/2012,8/9/2012,,,39,89,,58.50%,
hxsmile,pp not CC,TSC,EB1B,4/24/2012,5/15/2012,,,5/12/2012,45,,,6/8/2012,6/28/2012,,,20,64,,33.00%,
ZhaoyLi,pp not CC,TSC,EB1A,4/24/2012,6/25/2012,,,5/26/2012,87,32,,7/20/2012,8/10/2012,,,20,106,,69.90%,
fighthard99,pp not CC,TSC,EB1B,4/18/2012,,,,,65,,,6/22/2012,7/11/2012,,,19,83,,53.60%,
divinecookie,pp not CC,TSC,EB1B,4/16/2012,,,,,28,,,5/14/2012,6/15/2012,,,31,59,,28.70%,
liuykchi,pp not CC,TSC,EB1B,4/12/2012,5/7/2012,,,,47,,,5/29/2012,6/17/2012,,,18,65,,34.40%,
zumba2011,non-pp,TSC,EB1A,4/10/2012,,,,5/12/2012,41,32,,5/21/2012,6/27/2012,,,36,77,,48.30%,
Callj485,pp not CC,TSC,EB1A,4/9/2012,5/4/2012,,,5/18/2012,46,39,,5/25/2012,5/25/2012,,,36,46,,14.70%,
jojochan,pp not CC,TSC,EB1A,4/9/2012,5/2/2012,,,6/29/2012,50,80,,5/29/2012,10/25/2012,,,36,196,,93.90%,
sunyao1982,pp CC,TSC,EB1B,4/4/2012,4/20/2012,,,5/12/2012,35,,,5/9/2012,8/14/2012,,,97,130,,79.00%,
lombroso,pp not CC,TSC,EB1A,3/30/2012,5/24/2012,,,5/2/2012,67,32,,6/5/2012,6/23/2012,,,18,83,,53.60%,
Crystalline,pp not CC,TSC,EB1A,3/27/2012,4/23/2012,,,4/21/2012,41,24,,5/7/2012,6/14/2012,,,38,77,,48.30%,
whywhywhywhy,pp not CC,TSC,EB1B,3/23/2012,4/16/2012,,,4/16/2012,33,,,4/25/2012,6/22/2012,,,58,89,,58.50%,
NAS,pp not CC,TSC,EB1A,3/21/2012,4/2/2012,,,4/28/2012,34,37,,4/24/2012,6/13/2012,,,50,82,,53.20%,
Flyingkick,"PP, non CC",TSC,EB1B,3/9/2012,,,,4/14/2012,54,,,5/2/2012,6/18/2012,,,47,99,,65.60%,
ghostlover,"PP,non CC",TSC,eb1a,3/9/2012,,,,5/9/2012,66,60,,5/14/2012,7/7/2012,,,47,118,,73.70%,
gracelin2002,pp not CC,TSC,EB1A,3/9/2012,,,,,,,,,6/18/2012,,,47,99,,65.60%,
