"","X485RD_Date","FP_Date","AP_EAD_Date","X485AD_Date","Center","Type","State","Days_RDtoFP","Days_FPtoEAD","Days_EADto485AD","Days_RDto485AD","Year","Month"
"1052",2014-11-12,2014-11-20,2015-01-21,2015-04-13,"TSC","eb1a",NA,8,62,82,152,2014,0
"1053",2014-11-12,2014-12-10,2015-01-23,2015-05-15,"TSC","eb1a","PA",28,44,112,184,2014,0
"1054",2014-11-05,2014-12-04,2015-01-14,2015-01-28,"TSC","eb1a","PA",29,41,14,84,2014,0
"1055",2014-11-04,2014-12-12,2015-01-29,2015-05-22,"TSC","eb1a","LA",38,48,113,199,2014,0
"1056",2014-11-03,2014-12-03,2015-02-20,2015-08-04,"TSC","eb1a","WV",30,79,165,274,2014,0
"1057",2014-11-03,2014-11-13,2015-01-08,2015-02-11,"TSC","eb1a","NY",10,56,34,100,2014,0
"1058",2014-10-27,2014-11-21,2015-01-15,2015-06-12,"TSC","eb1a",NA,25,55,148,228,2014,0
"1061",2014-10-16,2014-11-20,2015-01-10,2015-01-27,"TSC","eb1a","GA",35,51,17,103,2014,0
"1062",2014-10-16,2014-10-20,2014-11-08,2015-01-20,"TSC","eb1a","SC",4,19,73,96,2014,0
"1063",2014-10-08,2014-10-31,2014-12-23,2015-02-11,"TSC","eb1a","FL",23,53,50,126,2014,0
"1065",2014-10-02,2014-10-24,2014-12-29,2015-03-18,"TSC","eb1b","MD",22,66,79,167,2014,0
"1067",2014-09-23,2014-10-15,2014-12-12,2015-04-20,"TSC","eb1b","MA",22,58,129,209,2014,0
"1068",2014-09-19,2014-10-15,2014-11-29,2015-01-23,"TSC","eb1a","TX",26,45,55,126,2014,0
"1069",2014-09-16,2014-10-15,2014-12-01,2015-07-29,"TSC","eb1b","NJ",29,47,240,316,2014,0
"1072",2014-09-13,2014-09-26,2014-11-23,2015-01-20,"TSC","eb1a","TX",13,58,58,129,2014,0
"1075",2014-09-05,2014-10-09,2014-12-05,2015-02-25,"TSC","eb1b","NY",34,57,82,173,2014,0
"1076",2014-08-29,2014-09-22,NA,2014-10-03,"TSC","eb1b","NJ",24,NA,NA,35,2014,0
"1078",2014-08-18,2014-09-17,2014-11-15,2015-01-20,"TSC","eb1b","MA",30,59,66,155,2014,0
"1079",2014-08-11,2014-09-05,2014-10-22,2015-05-11,"TSC","eb1b","NY",25,47,201,273,2014,0
"1080",2014-07-31,2014-08-18,NA,2014-09-08,"TSC","eb1b",NA,18,NA,NA,39,2014,0
"1081",2014-07-24,2014-08-12,NA,2014-08-30,"TSC","eb1a","VA",19,NA,NA,37,2014,0
"1083",2014-07-21,2014-09-12,2014-10-10,2014-10-23,"TSC","eb1a",NA,53,28,13,94,2014,0
