,140 PP? 140/485 CC?,Center,Type,485 RD,FP Notice Date ,Days from RD to FP Notice Date,Scheduled FP Date,FP Date,Walk in?,,"AP / EAD 
Approved 
Date","Days from
RD to AP/EAD AD",485 AD,"Days from
 FP Date to
485 AD",New Card Is Being Produced,Days from RD,Please Don't Filter Data!!!,,
wygz55,"PP, nonCC",NSC,EB1B,1/3/2014,1/27/2014,24,2/12/2014,2/4/2014,W,"Santa Clara, CA",3/19/2014,75,2014-04-29,84,116,,dependent's 485 approved on the same day,,
sxs,"PP, nonCC",NSC,EB1A,12/27/2013,1/15/2014,18,2/12/2014,2/12/2014,No,"Santa Ana, CA",,,2014-03-14,30,77,,dependent's 485 approved on the same day,,
wb,"nonPP, nonCC",NSC,EB1B,12/26/2013,1/23/2014,27,2/13/2014,2/13/2014,No,"Detroit, MI",3/24/2014,88,2014-04-03,49,98,,dependent's 485 approved on the same day,,
ui,"PP, nonCC",NSC,EB1B,12/26/2013,1/15/2014,19,2/4/2014,1/24/2014,W,"Indianapolis, IN",3/8/2014,72,2014-03-11,46,75,,,,
syea,"PP, nonCC",NSC,EB1A,12/24/2013,1/21/2014,28,2/12/2014,1/29/2014,W,"Chicago, IL",,,2014-02-21,23,59,,,,
hitpoint,"PP, nonCC",NSC,EB1A,12/13/2013,12/31/2013,18,1/21/2014,1/10/2014,W,"Oakland, CA",,,2014-02-18,39,67,,dependent's 485 approved on the same day,,
crystalplaza,"PP, nonCC",NSC,EB1B,12/13/2013,12/31/2014,18,1/21/2014,1/13/2014,W,"Santa Clara, CA",,,2014-06-03,141,172,,,,
gzxy,"PP, nonCC",NSC,EB1A,12/5/2013,12/26/2013,21,1/15/2014,1/13/2014,W,"Des Moines, IA",,,2014-03-08,54,93,,"2/14/2014 补申 EAD, 4/14 denied.",,
minisand,"PP, nonCC",NSC,EB1B,11/29/2013,12/17/2013,21,1/8/2014,12/31/2013,W,"Santa Clara, CA",,,Blessing,,,737,,,
ohliumliu,"nonPP, nonCC",NSC,EB1B,11/28/2013,12/19/2013,21,1/9/2014,12/30/2013,W,"Santa Clara, CA",1/30/2014,63,2014-02-07,39,71,,dependent's aPPlication approved at the same time,,
Bluebird,"PP, CC",NSC,EB1B,11/25/2013,12/12/2013,23,1/2/2014,12/18/2013,W,"Salt Lake City, UT",3/28/2014,,Blessing,,,741,,,
ADSP,"PP, CC",NSC,EB1B,11/25/2013,12/2/2013,23,1/2/2014,12/18/2013,W,"Santa Clara, CA",2/11/2014,80,2014-02-18,62,85,,,,
shuilanse,"PP, nonCC",NSC,EB1B,11/25/2013,12/19/2013,24,1/9/2014,12/26/2013,W,,,,2014-01-30,35,66,,"Dependent's 485 approved same day, aPPlied but never got EAD/AP ",,
plato,"PP, nonCC",NSC,EB1A,11/21/2013,12/11/2013,22,1/3/2014,1/3/2014,No,"Cleveland,OH",1/24/2014,63,2014-03-01,57,100,,,,
LakeAve,"nonPP, nonCC",NSC,EB1B,11/19/2013,,,12/26/2013,12/17/2013,W,"Oakland, CA",1/18/2014,60,2014-02-05,50,78,,,,
qma,"nonPP, nonCC",NSC,EB1B,11/18/2013,12/11/2013,23,12/26/2013,12/17/2013,W,"Los Angeles, CA",1/22/2014,65,2014-01-30,44,73,,,,
oefo,"PP, nonCC",NSC,EB1B,11/13/2013,12/5/2013,23,12/26/2013,12/23/2013,W,"Los Angeles, CA",,,2014-02-06,45,85,,EAD/AP never got approved......,,
gomyway,,NSC,,11/13/2013,12/10/2013,27,12/26/2013,12/11/2013,W,,1/15/2014,63,2014-01-23,43,71,,,,
GoG,"nonPP, nonCC",NSC,EB1A,11/12/2013,12/11/2013,29,12/26/2013,1/8/2014,No,"Detroit, MI",1/21/2014,70,2014-02-25,48,105,,,,
YYY,"PP, non CC",NSC,EB1B,11/12/2013,12/5/2013,23,12/26/2013,12/13/2013,W,"Santa Clara, CA",1/16/2014,64,2014-01-17,35,66,,,,
LE,"nonPP, nonCC",NSC,EB1B,11/12/2013,12/11/2013,29,12/26/2013,12/11/2013,W,"Santa Clara, CA",,,2014-01-31,51,80,,EAD/AP never got approved......,,
ZZZ,nonPP nonCC,NSC,EB2,11/12/2013,12/11/2013,29,12/27/2013,12/27/2013,No,"Salt Lake City, UT",1/21/2014,70,2014-03-11,74,119,,,,
bynan,"PP, nonCC",NSC,EB1a,11/7/2013,12/16/2013,39,1/2/2014,1/2/2014,No,"San Francisco, CA",,,2014-02-28,57,113,,,,
XiaoZhu,"PP, nonCC",NSC,EB1A,11/5/2013,12/2/2013,27,12/16/2013,12/3/2013,W,"Chicago, IL",1/8/2014,64,2014-01-21,49,77,,,,
Goodluck,PP,NSC,EB1A,11/5/2013,11/26/2013,21,12/18/2013,12/18/2013,No,"Cleveland, OH",1/13/2014,69,2014-01-28,41,84,,,,
CL,"PP, CC",NSC,EB1A,11/1/2013,11/21/2013,20,12/6/2013,12/4/2013,W,"St. Louis, MO",12/28/2013,57,2014-01-30,57,90,,dependent's 485 approved on the same day,,
ystreet,"no PP, no CC",NSC,EB1B,10/31/2013,11/15/2013,15,12/15/1023,12/7/2013,W,"Cleveland, OH",1/3/2014,64,Blessing,,,766,,57,90
LXSeattle,nonPP，nonCC,NSC,EB1C,10/31/2013,11/21/2013,21,12/10/2013,12/4/2013,W,"Seattle,WA",12/31/2013,60,2014-01-24,51,84,,,,
Zimmorn,"PP, nonCC",NSC,EB1A,10/29/2013,11/22/2013,23,12/4/2013,11/26/2013,W,"San Francisco, CA",1/8/2014,69,2014-01-18,53,79,,,,
summer2012,"nonPP, nonCC",NSC,EB1B,10/29/2013,11/15/2013,16,12/4/2013,11/22/2013,W,"Santa Clara, CA",,,2013-12-19,27,51,,,,
leewx,"PP, nonCC",NSC,EB1A,10/28/2013,11/21/2013,24,12/19/2013,12/19/2013,No,"Detroit, MI",12/20/2013,53,2014-01-31,43,93,,"dependent's approved on the same day
",,
jun,"nonPP, nonCC",NSC,EB1B,10/23/2013,11/18/2013,25,12/2/2013,12/2/2013,No,,12/16/2013,54,2014-01-17,45,86,,,,
xgw167,"PP, nonCC",NSC,EB1A,10/21/2013,11/14/2013,23,12/3/2013,11/20/2013,W,,12/19/2013,59,2014-02-04,76,106,,,,
Feng,"PP, nonCC",NSC,EB1A,10/18/2013,11/7/2013,19,11/26/2013,11/26/2013,No,"Los Angeles, CA",12/13/2013,56,Blessing,,,778,,,
aarddoubao,"PP, nonCC",NSC,EB1A,10/18/2013,11/6/2013,18,11/26/2013,11/26/2013,No,"San Diego, CA",12/16/2013,59,2014-03-14,108,147,,,,
Li,"nonPP, nonCC",NSC,EB1A,10/18/2013,11/12/2013,24,12/4/2013,12/4/2013,No,,12/9/2013,52,2014-02-11,67,116,,RFE on 01/23/2014,,
myle,"PP, nonCC",NSC,EB1B,10/18/2013,11/14/2013,29,12/5/2013,11/21/2013,W,,12/22/2013,65,2014-01-10,50,84,,,,
gardenerla,,NSC,EB1B,10/18/2013,,,11/22/2013,11/6/2013,W,,12/23/2013,66,2014-01-03,57,77,,,,
chouei, ,NSC,,10/18/2013,11/6/2013,,11/27/2013,11/27/2013,No,,12/19/2013,62,2014-01-17,51,91,,,,
Luckbear,"PP, nonCC",NSC,EB1A,10/17/2013,11/6/2013,19,12/4/2013,11/13/2013,W,,,,2014-01-09,54,84,,,,
agnelms,"nonPP, nonCC",NSC,EB1A,10/17/2013,,20,11/26/2013,11/26/2013,No,,12/7/2013,51,2014-01-20,54,95,,,,
bufangqi,"PP, nonCC",NSC,EB1B,10/17/2013,11/7/2013,24,11/26/2013,11/26/2013,No,"San Diego, CA",12/11/2013,55,2014-01-24,58,99,,,,
kulolo1981,"PP, nonCC",NSC,EB1A,10/15/2013,11/4/2013,19,11/21/2013,11/7/2013,W,"Columbus, OH",,,2013-12-05,28,51,,,,
quanputer,"PP, nonCC",NSC,EB1A,10/15/2013,11/6/2013,21,11/25/2013,11/12/2013,W,"Oakland, CA",12/11/2013,57,2013-12-12,30,58,,dependent's 485 approved on the same day,,
laguna,"nonPP, CC",NSC,EB1B,10/15/2013,11/1/2013,16,11/22/2013,11/22/2013,No,"Phoenix, AZ",12/5/2013,51,2014-01-13,51,90,,,,
Minoltain,"PP, nonCC",NSC,EB1B,10/11/2013,10/31/2013,20,11/21/2013,11/7/2013,W,"Santa Clara, CA",Denial,,2013-12-07,30,57,,,,
hsteven,"PP, nonCC",NSC,EB1B,10/10/2013,10/31/2013,21,11/21/2013,11/5/2013,W,"Santa Clara, CA",10/28/2013,18,2013-12-02,27,53,,,,
hellozero,"nonPP, nonCC",NSC,EB1A,10/7/2013,11/11/2013,34,11/20/2013,11/20/2013,No,Los Angeles CA,12/5/2013,59,2014-01-10,50,95,,,,
,"PP, non CC",NSC,EB1A,10/7/2013,11/5/2013,28,11/18/2013,11/15/2013,W,"Milwaukee, WI",,,2013-12-18,33,72,,,,
Bubble,follow to join,NSC,EB1B,10/7/2013,10/31/2013,24,11/20/2013,11/20/2013,No,,11/25/2013,49,2014-02-19,89,135,,01/31/2014 RFE,,
anonymous,"PP, nonCC",NSC,EB1A,10/5/2013,10/22/2013,17,11/21/2013,11/21/2013,No,"Chicago, IL",12/6/2013,61,2013-12-11,20,66,,,,
wayn,"PP, nonCC",NSC,EB1A,10/1/2013,10/24/2013,23,11/8/2013,10/31/2013,mycasetracker ,"Yakima, WA",11/25/2013,55,2013-12-26,56,86,,Both are approved. Card production 12/31/2013,,
llysc,"nonPP, nonCC",NSC,EB1A,9/30/2013,10/26/2013,26,11/13/2013,10/29/2013,W,"Santa Clara, CA",11/22/2013,53,2013-12-02,33,63,,,,
Desperadov,"PP, nonCC",NSC,EB1A,9/30/2013,10/23/2013,23,11/13/2013,10/29/2013,W,"Santa Clara, CA",11/15/2013,46,2013-12-02,33,63,,,,
bbb,"PP, nonCC",NSC,EB1B,9/26/2013,10/23/2013,27,11/19/2013,11/19/2013,No,,11/15/2013,50,2014-02-20,91,147,,,,
rsrhzoo,"PP, nonCC",NSC,EB1A,9/23/2013,10/21/2013,28,11/6/2013,10/25/2013,W,"El Monte, CA",11/18/2013,55,2013-12-02,37,70,,,,
Godblessme2,"nonPP, nonCC",NSC,EB1B,9/23/2013,10/19/2013,26,11/6/2013,10/21/2013,W,"Chicago, IL",10/31/2013,38,2013-11-21,30,59,,,,
anonymous,"PP, nonCC",NSC,EB1A,9/20/2013,10/21/2013,31,11/5/2013,11/5/2013,No,"Indianapolis, IN",11/13/2013,54,2014-02-04,89,137,,,,
taiyangxue,"PP, nonCC",NSC,"EB1B
",9/20/2013,10/21/2013,31,11/7/2013,10/22/2013,W,"Cincinnati, OH",11/15/2013,55,2013-11-22,30,63,,dependent's 485 approved in 3 week after RFE,,
MyPrincess,"PP,nonCC",NSC,EB1A,9/19/2013,10/15/2013,26,10/31/2013,10/18/2013,W,"Los Angeles, CA",11/14/2013,56,2013-12-13,59,85,,Both primary and dependent are approved,,
Nancywong6,"PP,nonCC",NSC,EB1A,9/19/2013,10/15/2013,26,,,W,,11/14/2013,56,2013-11-22,,64,,,,
wmijs,"PP, nonCC",NSC,EB1A,9/18/2013,10/15/2013,27,10/31/2013,10/18/2013,W,"Oakland, CA",,67,2013-11-25,37,68,,EAD,,
junhuizhao,nonPP nonCC,NSC,EB1A,9/18/2013,10/15/2013,27,10/31/2013,10/31/2013,No,,11/9/2013,52,Blessing,,,808,,,
yhzhao8800,"PP, nonCC",NSC,EB1B,9/18/2013,10/22/2013,34,11/4/2013,10/31/2013,W,"Portland, OR",,,2013-11-18,18,61,,,,
northwind,"PP, nonCC",NSC,EB1A,9/17/2013,10/10/2013,23,10/31/2013,10/17/2013,W,"Des Moines, IA",11/11/2013,55,2013-11-29,43,73,,,,
tel,"PP, nonCC",NSC,EB1A,9/17/2013,10/16/2013,29,11/6/2013,11/6/2013,No,"Los Angeles, CA",11/18/2013,62,2013-12-16,40,90,,,,
sunnoom,"PP, nonCC",NSC,EB1A,9/17/2013,10/21/2013,34,11/4/2013,11/1/2013,W,"San Marcos, CA",11/22/2013,66,2013-12-09,43,82,,,,
contrast,"PP, nonCC",NSC,EB1A,9/17/2013,10/16/2013,29,10/31/2013,10/31/2013,No,,11/6/2013,50,2014-09-15,315,363,,"Jan 17, 2014 transfer to local office. Mar 21-2014 infopassed and the case transferred to TSC. in total 4 SR, 4 senator inquiries and two infopasses. wait for another 30 days for card delivery because of the unsuccessful address change",,
crocodile009,"No PP, non CC",NSC,EB1A,9/16/2013,10/10/2013,24,11/4/2013,11/4/2013,No,"Santa Clara, CA",11/7/2013,52,2013-12-10,36,85,,Primary aPPlicant approved on Dec 10th. LD's is approved on Jan 9th (Requested for evidence).,,
Baoozi,"PP, nonCC
",NSC,"EB1B
",9/16/2013,10/10/2013,24,10/28/2013,10/23/2013,W,"El Monte, CA",11/8/2013,53,2013-12-05,43,80,,,,
bugsjags,"PP, nonCC",NSC,EB1B,9/12/2013,10/9/2013,27,10/30/2013,10/16/2013,W,"San Francisco, CA",11/1/2013,50,2013-11-18,32,67,,,,
candyshop,"PP, nonCC",NSC,EB1A,9/11/2013,10/15/2013,34,10/30/2013,10/17/2013,W,"Oakland,CA",11/30/2013,80,2013-12-06,49,86,,,,
oceanfly,"PP, nonCC",NSC,EB1B,9/10/2013,10/1/2013,21,10/15/2013,10/8/2013,W,,11/6/2013,57,2013-11-04,26,55,,,,
caosanping,"PP, nonCC",NSC,EB1A,9/6/2013,10/1/2013,25,10/17/20013,10/4/2013,W,"Chula Vista, CA",10/10/2013,34,2013-11-05,31,60,,,,
xiaoliu86,"PP, nonCC",NSC,EB1B,9/5/2013,10/3/2013,28,10/24/2013,10/10/2013,W,"Chicago, IL",11/12/2013,68,2013-11-18,38,74,,"primary aPPlicant approved, LD's is IR",,
Dingo1010,"PP, nonCC",NSC,EB1B,9/5/2013,9/21/2013,16,10/9/2013,9/25/2013,W,"San Diego, CA",10/10/2013,35,2013-10-31,36,56,,,,
minglieec,"PP, nonCC",NSC,EB1A,9/3/2013,,,10/10/2013,10/10/2013,No,,10/11/2013,38,2013-10-28,18,55,,,,
tc,"nonPP, nonCC",NSC,EB1C,9/3/2013,9/27/2013,24,10/17/2013,10/17/2013,No,,10/9/2013,36,2013-12-09,52,97,,,,
Lvg,,,N/A,9/3/2013,9/30/2013,,10/16/2013,10/16/2013,No,,,,2013-12-10,54,97,,"principal pass, dependents approved Jan.8 14.",,
cgol,"PP, nonCC",NSC,EB1A,8/27/2013,9/11/2013,14,10/2/2013,9/17/2013,W,"San Francisco, CA",10/2/2013,36,2013-11-25,68,90,,RFE on main aPPlicant 11/08/2013,,
xwjh,"PP, nonCC",NSC,EB1B,8/27/2013,9/14/2013,17,10/2/2013,9/17/2013,W,"Los Angeles, CA",10/14/2013,48,2014-01-21,124,147,,,,
xjqx,"PP, nonCC",NSC,EB1B,8/27/2013,9/20/2013,23,10/11/2013,9/25/2013,W,"Milwaukee, WI",10/16/2013,50,2013-12-02,67,97,,,,
allansir,"nonPP, CC",NSC,EB1B,8/27/2013,9/18/2013,21,10/2/2013,10/2/2013,No,"Phoenix, AZ",10/25/2013,59,2014-02-04,122,161,,,,
pumc,"PP, nonCC",NSC,EB1A,8/26/2013,,,,10/4/2013,W,,10/1/2013,36,2013-11-06,32,72,,,,
califormia,"PP, nonCC",NSC,EB1A,8/26/2013,,,10/2/2013,10/2/2013,No,,10/8/2013,43,2013-11-13,41,79,,,,
followdream,"nonPP, nonCC",NSC,EB1A,8/23/2013,9/17/2013,24,10/2/2013,10/2/2013,No,MI,9/27/2013,35,2013-11-20,48,89,,,,
yzc,PP,NSC,EB1B,8/23/2013,9/16/2013,23,10/2/2013,9/17/2013,W,"Seattle, WA",10/8/2013,46,2013-10-13,26,51,,,,
UM,"PP, nonCC",NSC,EB1B,8/22/2013,9/13/2013,21,10/7/2013,9/23/2013,W,"Detroit, MI",10/2/2013,41,2013-10-29,36,67,,,,
fei777,"PP, nonCC",NSC,EB1A,8/21/2013,9/12/2013,21,10/1/2013,10/1/2013,No,"Los Angeles, CA",9/24/2013,34,2013-10-21,20,61,,,,
jessy,"PP, nonCC",NSC,EB1A,8/21/2013,9/6/2013,15,9/27/2013,9/27/2013,No,"Oakland, CA",,,2013-10-02,5,42,,,,
slczhang,"PP, nonCC",NSC,EB1A,8/15/2013,9/12/2013,27,10/3/2013,9/20/2013,W,"Michigan City, IN",9/23/2013,39,2013-10-17,27,63,,,,
oceandeep,"PP, nonCC",NSC,EB1B,8/12/2013,9/6/2013,24,9/27/2013,9/27/2013,No,,9/25/2013,44,2013-11-14,47,92,,,,
sixxu ,"PP, nonCC",NSC,,8/12/2013,9/6/2013,24,,9/13/2013,W,,9/24/2013,43,2013-10-11,28,60,,,,
datian,"PP, nonCC",NSC,EB1A,8/9/2013,9/5/2013,26,9/24/2013,9/24/2013,No,"Santa Ana, CA",9/23/2013,45,2013-11-08,44,89,,,,
HINT,"PP, nonCC",NSC,EB1A,8/8/2013,9/3/2013,25,9/18/2013,9/3/2013,W,"Milwaukee, WI",10/4/2013,57,2013-10-25,52,78,,,,
flowerlike,"PP, nonCC",NSC,EB1B,8/8/2013,9/3/2013,25,9/25/2013,9/10/2013,W,CA,9/12/2013,35,2013-12-05,85,119,,,,
Crystal7,nonPP,NSC,EB1A,8/7/2013,9/4/2013,27,9/25/2013,9/23/2013,W,El Monte,10/10/2013,64,2013-10-21,28,75,,,,
balls,"PP, nonCC",NSC,EB1A,8/6/2013,9/9/2013,33,9/24/2013,9/24/2013,No,"Oakland, CA",9/26/2013,51,Blessing,,,850,,,
acai,"PP, nonCC",NSC,EB1B,8/6/2013,9/4/2013,28,9/25/2013,9/10/2013,W,"San Francisco, CA",9/19/2013,44,2013-10-03,23,57,,9/20 RFE for birth certificate,,
wybeer,"PP, nonCC",NSC,EB1B,8/5/2013,,,9/16/2013,9/3/2013,W,"Detroit, MI",9/2/2013,28,2013-10-10,37,66,,,,
laomonkey,PP CC,NSC,EB1B,8/2/2013,,,,8/28/2013,,,9/5/2013,34,2013-09-10,12,39,,,,
lover00,PP,NSC,EB1A,8/1/2013,8/28/2013,27,9/25/2013,9/4/2013,W,"Santa Clara, CA",9/3/2013,33,2013-10-16,42,76,,,,
DH788010,"PP, nonCC",NSC,EB1A,8/1/2013,8/23/2013,22,9/13/2013,8/30/2013,W,,10/7/2013,67,2013-10-25,55,85,,,,
SAXS,"nonPP,nonCC",NSC,EB1A-dependent,8/1/2013,8/28/2013,27,9/18/2013,9/18/2013,No,"Oakland, CA",9/18/2013,48,2013-10-23,35,83,,,,
smthe,,,,8/1/2013,,,,,,,,,2013-10-08,,69,,,,
shanremzm,,,,8/1/2013,,,,8/22/2013,,,,,2013-10-02,,62,,,,
xtnc,"PP, nonCC",NSC,EB1A,7/31/2013,8/21/2013,21,9/10/2013,9/3/2013,W,"Oakland, CA",8/30/2013,30,2013-10-09,36,70,,,,
zPP,PP,NSC,EB1A,7/31/2013,8/29/2013,29,9/10/2013,9/10/2013,No,,9/10/2013,40,2013-10-18,38,79,,,,
combust,"PP, CC",NSC,EB1B,7/31/2013,8/12/2013,12,8/28/2013,8/14/2013,W,,9/4/2013,35,2013-10-11,57,72,,,,
flaming,"PP, CC",NSC,EB1B,7/30/2013,8/12/2013,12,8/29/2013,8/16/2013,W,"SF, CA",9/2/2013,34,2013-10-08,53,69,,,,
StevenLow,"PP, nonCC",NSC,EB1B,7/30/2013,8/26/2013,26,9/18/2013,8/27/2013,W,,,,2013-10-04,38,66,,,,
davidtadi,"PP,nonCC",NSC,EB1B,7/29/2013,8/31/2013,32,9/18/2013,9/3/2013,W,"OAKLAND,CA",8/30/2013,32,2013-10-08,35,71,,,,
lunaticyang,,,,7/25/2013,,,,,,,,,2013-10-03,,70,,,,
Lavender37,"PP, nonCC",NSC,EB1A,7/24/2013,8/19/2013,25,9/5/2013,8/21/2013,W,,8/20/2013,27,2013-10-02,41,70,,,,
ffddlyn,"PP,nonCC",NSC,EB1A,7/24/2013,8/15/2013,21,9/5/2013,,W,,8/20/2013,27,2013-09-03,,41,,,,
SAXS,"non-PP, nonCC",NSC,EB1A,7/22/2013,8/9/2013,17,8/30/2013,8/30/2013,No,"Oakland, CA",8/14/2013,23,2013-10-23,,93,,,,
steells,"PP, nonCC",NSC,EB1A,7/22/2013,8/9/2013,17,8/30/2013,8/30/2013,No,"Santa Clara, CA",10/2/2013,72,2013-10-09,40,79,,,,
pt,"nonPP,nonCC",NSC,EB1A,7/19/2013,8/8/2013,19,9/4/2013,8/14/2013,W,"Santa Clara, CA",,,2013-12-06,,137,,10/29 RFE EVL X-RAY,,
Cholla,"non-PP, nonCC",NSC,EB1B,7/19/2013,8/5/2013,16,8/26/2013,8/19/2013,W,Tucson AZ,8/22/2013,34,2013-10-19,61,92,,,,
sizuka,,,,7/19/2013,8/9/2013,20,,8/16/2013,,,,,2013-08-28,12,40,,,,
shirleychin,,,,7/19/2013,,,,,,,,,2013-10-21,,94,,,,
star,"PP, nonCC",NSC,EB1B,7/17/2013,8/9/2013,22,8/26/2013,8/14/2013,  W,"Seattle, WA",,,2013-09-06,23,51,,,,
huntrui,,,,7/17/2013,,,,8/16/2013,,,8/21/2013,35,2013-09-06,21,51,,,,
aleieng,"PP, CC",NSC,EB1B,7/16/2013,7/24/2013,8,8/20/2013,8/1/2013,W,"Santa Clara, CA",8/21/2013,36,2013-10-02,61,78,,8/23 RFE for bona fide marriage,,
cambol,"PP, nonCC",NSC,EB1A,7/12/2013,8/2/2013,20,8/22/2013,8/22/2013,No,"Indianapolis, IN",8/12/2013,31,2013-10-21,59,101,,,,
delvieri,,,,7/12/2013,8/1/2013,19,,8/13/2013,,,8/13/2013,32,2013-08-28,15,48,,,,
Tony11,"PP, no CC",NSC,EB1A,7/11/2013,8/1/2013,20,8/22/2013,8/6/2013,W,,9/18/2013,69,2013-10-17,71,98,,,,
pasa123,"PP, nonCC",NSC,EB1A,7/10/2013,8/8/2013,28,8/22/2013,8/9/2013,W,,N/A,,2013-08-20,11,40,,,,
edfmwe,"PP, nonCC",NSC,EB1B,7/10/2013,8/2/2013,22,8/23/2013,8/23/2013,No,"San Diego, CA",8/15/2013,36,2013-10-22,59,103,,"09/30 RFE for X-ray, 10/11 RFE is received. ",,
o2,"PP, nonCC",NSC,EB1B,7/10/2013,8/8/2013,28,9/4/2013,8/14/2013,W,"San Francisco, CA",8/14/2013,35,2013-11-21,99,134,,Interview,,
LZ,PP,NSC,EB1B,7/10/2013,8/8/2013,28,8/29/2013,8/29/2013,N,,8/8/2013,29,2013-10-23,54,105,,,,
PFPA,,NSC,,7/10/2013,,,,8/19/2013,,,,,2013-10-01,43,81,,,,
july99,"PP, nonCC",NSC,EB1A,7/9/2013,7/26/2013,17,8/14/2013,8/1/2013,W,"Oakland, CA",8/8/2013,30,2014-02-12,188,218,,,,
las,PP,NSC,EB1B,7/8/2013,,,8/14/2013,8/14/2013,No,"Las Vegas, NV",8/15/2013,38,2013-09-03,20,54,,,,
zzzww,"PP, nonCC",NSC,EB1A,7/5/2013,8/7/2013,32,8/22/2013,8/12/2013,W,"SAN MARCOS, CA",8/7/2013,33,2013-09-05,24,62,,,,
wwtt,"PP, nonCC",NSC,EB1B,7/5/2013,8/8/2013,33,8/23/2013,8/9/2013,W,"San Diego,CA",,,2013-08-28,19,54,,,,
bban,"PP, nonCC",NSC,EB1B,7/5/2013,7/29/2013,24,8/14/2013,7/30/2013,    W,,8/2/2013,28,2013-10-21,83,108,,,,
langou,"PP, nonCC",NSC,EB1A,7/3/2013,7/24/2013,21,8/20/2013,8/20/2013,No,"Santa Clara, CA
",8/8/2013,36,2013-10-15,56,104,,,,
coolwinner,"PP, nonCC",NSC,EB1A,7/3/2013,8/5/2013,32,8/27/2013,8/9/2013,    W,"Santa Clara, CA
",8/16/2013,44,2014-01-15,159,196,,,,
skydrive,"PP, nonCC",NSC,EB1A,7/3/2013,7/29/2013,26,8/13/2013,8/8/2013,W,"Seattle, WA",8/20/2013,48,2013-10-17,69,105,,,,
squirrel2008,"PP, nonCC",NSC,EB1A,7/2/2013,7/29/2013,27,8/15/2013,7/31/2013,W,"Cincinnati, OH",8/1/2013,30,2013-08-21,21,49,,,,
bigsea1,"PP, nonCC",NSC,EB1A,7/2/2013,8/1/2013,29,8/15/2013,8/2/2013,W,,N/A,,2013-08-23,21,51,,,,
G5316,"PP, nonCC",NSC,EB1B,7/2/2013,8/5/2013,33,8/22/2013,8/6/2013,W,"Cincinnati, OH",8/15/2013,44,2014-01-09,151,187,,,,
tutu2011,,NSC,,7/2/2013,7/29/2013,27,8/13/2013,7/30/2013,    W,"San Francisco,CA",7/31/2013,29,2013-10-21,81,111,,,,
Vonjune,CC,NSC,EB1A,6/28/2013,7/23/2013,25,8/15/2013,8/5/2013,W,"Chicago, IL",8/26/2013,59,Blessing,,,888,"RFE for EAD,  when?",,
lucy,nonPP,NSC,EB1A,6/28/2013,7/23/2013,25,8/1/2013,7/24/2013,W,"Idaho falls, ID",7/31/2013,33,2013-10-01,67,93,,"RFE EVL, response 9/18",,
youzidi,PP,NSC,EB1A,6/28/2013,7/29/2013,31,8/14/2013,7/30/2013,W,,8/12/2013,45,2013-08-14,15,47,,,,
poly2,"PP, nonCC",NSC,EB1A,6/27/2013,7/17/2013,20,8/6/2013,7/23/2013,W,WA,8/1/2013,35,2013-08-17,25,50,,,,
woleng,"PP, nonCC",NSC,EB1B,6/25/2013,7/17/2013,22,8/5/2013,7/23/2013,W,"Oakland, CA",7/23/2013,28,2013-08-28,36,63,,"RFE 485 form, Response 8/20",,
njuszhi,"PP, nonCC ",NSC,EB1A,6/24/2013,7/15/2013,21,8/2/2013,8/2/2013,N,,8/8/2013,45,2013-08-20,18,56,,,,
dellboy,"PP, nonCC",NSC,EB1A,6/24/2013,7/17/2013,23,8/7/2013,7/23/2013,W,,8/14/2013,51,2013-08-28,36,63,,,,
zpytb,"PP, nonCC",NSC,EB1A,6/21/2013,7/17/2013,26,8/7/2013,7/23/2013,W,,8/12/2013,52,2013-08-28,36,67,,,,
Aran,"PP, nonCC",NSC,EB1A,6/21/2013,7/17/2013,26,8/2/2013,8/2/2013,N,,8/14/2013,54,2013-09-12,41,83,,,,
hanmeimei,"PP, nonCC",NSC,EB1B,6/21/2013,7/17/2013,26,8/7/2013,8/7/2013,N,,7/23/2013,32,2013-08-27,20,66,,,,
jimmyuconn,"PP, nonCC",NSC,EB1A,6/18/2013,7/11/2013,23,8/7/2013,7/19/2013,W,"Santa Clara, CA",,,2013-10-10,81,112,,,,
fridayfly ,"PP, nonCC",NSC,EB1A,6/18/2013,7/10/2013,22,8/6/2013,7/18/2013,W,,7/15/2013,27,2013-08-05,18,47,,,,
pige,,,,6/15/2013,,,,7/25/2013,,,,,2013-08-26,32,72,,,,
zymed,"PP, nonCC",NSC,EB1A,6/14/2013,7/4/2013,20,7/25/2013,7/25/2013,No,,8/7/2013,54,2013-08-16,22,63,,,,
PPoo,,NSC,EB1B,6/14/2013,,,,7/19/2013,,,,,2013-08-26,38,73,,,,
bunnyzai,"PP, nonCC",NSC,EB1B,6/13/2013,7/10/2013,27,7/31/2013,7/16/2013,W,"Kansas City, MO",7/25/2013,42,2013-07-30,14,47,,,,
qmu,"PP, nonCC",NSC,EB1A,6/12/2013,7/4/2013,22,7/25/2013,7/25/2013,No,"Kansas City, MO",7/17/2013,35,2013-08-20,26,69,,,,
music,"PP, nonCC",NSC,EB1B,6/11/2013,7/12/2013,31,8/1/2013,8/1/2013,No,"San Jose, CA",7/17/2013,36,2013-08-23,22,72,,,,
spicycrab,"nonPP, nonCC",NSC,EB1B,6/7/2013,6/12/2013,5,7/22/2013,7/22/2013,No,"Santa Clara, CA",7/17/2013,40,2013-08-20,29,73,,,,
